step_width,speed,period,gait,command_df,trials,compliant_trials,finite_energy_compliant_trials,compliance_rate,finite_energy_compliant_rate,median_positive_mechanical_cot
0.4,0.25,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.4,0.25,0.48,trot,0.55,32,32,32,1.0,1.0,0.24792676420911752
0.4,0.25,0.48,trot,0.6,32,32,32,1.0,1.0,0.2566862391693005
0.4,0.25,0.48,trot,0.65,32,32,32,1.0,1.0,0.27629469885711183
0.4,0.25,0.48,trot,0.7,32,32,32,1.0,1.0,0.28937859101851415
0.4,0.25,0.48,trot,0.75,32,32,32,1.0,1.0,0.3037145996225782
0.4,0.25,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.4,0.25,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.4,0.25,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.4,0.25,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.4,0.25,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.4,0.25,0.48,walk,0.75,32,32,32,1.0,1.0,0.4919304819927339
0.4,0.3,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.4,0.3,0.48,trot,0.55,32,32,32,1.0,1.0,0.21817190934687222
0.4,0.3,0.48,trot,0.6,32,32,32,1.0,1.0,0.230656452576267
0.4,0.3,0.48,trot,0.65,32,32,32,1.0,1.0,0.2486389651627351
0.4,0.3,0.48,trot,0.7,32,32,32,1.0,1.0,0.2660045297254199
0.4,0.3,0.48,trot,0.75,32,32,32,1.0,1.0,0.27639061672281245
0.4,0.3,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.4,0.3,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.4,0.3,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.4,0.3,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.4,0.3,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.4,0.3,0.48,walk,0.75,32,32,32,1.0,1.0,0.4348135302750398
0.4,0.35,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.4,0.35,0.48,trot,0.55,32,32,32,1.0,1.0,0.20790165792799079
0.4,0.35,0.48,trot,0.6,32,32,32,1.0,1.0,0.21459824514775194
0.4,0.35,0.48,trot,0.65,32,32,32,1.0,1.0,0.2299680811830189
0.4,0.35,0.48,trot,0.7,32,32,32,1.0,1.0,0.24653063577792556
0.4,0.35,0.48,trot,0.75,32,32,32,1.0,1.0,0.2601728935722366
0.4,0.35,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.4,0.35,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.4,0.35,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.4,0.35,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.4,0.35,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.4,0.35,0.48,walk,0.75,32,32,32,1.0,1.0,0.3945287291063883
0.4,0.4,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.4,0.4,0.48,trot,0.55,32,32,32,1.0,1.0,0.19730639201263533
0.4,0.4,0.48,trot,0.6,32,32,32,1.0,1.0,0.20095091756160458
0.4,0.4,0.48,trot,0.65,32,32,32,1.0,1.0,0.21966114632361355
0.4,0.4,0.48,trot,0.7,32,32,32,1.0,1.0,0.2354109712947326
