seed,step_width,speed,period,gait,command_df,compliant,any_failure,command_gate_pass,topology_fraction,topology_gate_pass,energy_valid,positive_mechanical_cot,absolute_mechanical_cot,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR
5000024,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.3767962254710049,0.7916996736228916,0.7604166666666666,0.04166666666666663,0.09802565225182178,0.001974347748178229,0.009063597791283582,0.008813779290843133,0.30397360896070796,0.003973608960707975,0.0007704244699104902,0.001766204833984375,0.007534445914734799,0.010508415289223194,0.010648725030440799,0.03734815275680476,1.0,0.8333333333333334,0,0.75,72,0.06393174599442217,1.0,1.0,0.75,72,-0.04931935486901137,1.0,1.0,0.75,72,0.035838604904711246,1.0,1.0,0.7916666666666666,76,-0.04696159873549875,1.0,0.8333333333333334
5000025,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.3775387941784193,0.7942282182246589,0.7604166666666666,0.04166666666666663,0.09808423978341907,0.0019157602165809362,0.008947330277974102,0.008707314438652247,0.30414892453700304,0.004148924537003051,0.014208714047036684,0.016477584838867188,0.008138376059027605,0.011325482279062271,0.010955905986733454,0.03674795504488365,1.0,0.8333333333333334,0,0.75,72,0.06374511748759283,1.0,1.0,0.75,72,-0.04943531399799718,1.0,1.0,0.75,72,0.03595642952455415,1.0,1.0,0.7916666666666666,76,-0.04703161855669398,1.0,0.8333333333333334
5000026,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.37707589912333717,0.7936459752107783,0.7604166666666666,0.04166666666666663,0.09818195702565279,0.0018180429743472198,0.008968693938593746,0.008727173044462688,0.3040732064594825,0.0040732064594825035,0.022100071155388472,0.02413177490234375,0.00862246635110207,0.011678531765937805,0.010914464671966839,0.036860712208664756,1.0,0.8333333333333334,0,0.75,72,0.0638296163847877,1.0,1.0,0.75,72,-0.0495146487115158,1.0,1.0,0.75,72,0.03599090607733362,1.0,1.0,0.7916666666666666,76,-0.04702874287766846,1.0,0.8333333333333334
5000027,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.3771458711719582,0.7932270887143456,0.7604166666666666,0.04166666666666663,0.09815691589930622,0.0018430841006937815,0.00904229213612982,0.008793328557900774,0.3038767312342922,0.003876731234292219,0.013996358455251413,0.01548371184617281,0.008009734263421988,0.011188453994691372,0.010710484772267005,0.03716976072654609,1.0,0.8333333333333334,0,0.75,72,0.06396676977682444,1.0,1.0,0.75,72,-0.04941756376582715,1.0,1.0,0.75,72,0.03590122814704147,1.0,1.0,0.7916666666666666,76,-0.04702827010891939,1.0,0.8333333333333334
5000028,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.37676356500641306,0.7921395289902238,0.7604166666666666,0.04166666666666663,0.09828737689242072,0.0017126231075792892,0.0089365746168289,0.008701247535645962,0.30435639930268127,0.00435639930268128,0.016290169385047643,0.018642425537109375,0.009058879443903309,0.011950780637562275,0.01105573194512003,0.03667034762316257,1.0,0.8333333333333334,0,0.75,72,0.06381478414146437,1.0,1.0,0.75,72,-0.049564950064652495,1.0,1.0,0.75,72,0.03603772850086292,1.0,1.0,0.7916666666666666,76,-0.04715729107786166,1.0,0.8333333333333334
5000029,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.3777130005070719,0.7930120723978675,0.7604166666666666,0.04166666666666663,0.0980311634688916,0.001968836531108409,0.0090294082580973,0.00878279582830146,0.3039092815791567,0.003909281579156709,0.015411436524458986,0.016920089721679688,0.007620619211016138,0.01069702673703432,0.010660375006065915,0.03717062395260339,1.0,0.8333333333333334,0,0.75,72,0.0638742644029359,1.0,1.0,0.75,72,-0.04934898215449519,1.0,1.0,0.75,72,0.03588002087134454,1.0,1.0,0.7916666666666666,76,-0.046959059509007556,1.0,0.8333333333333334
5000030,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.37743727257989695,0.7927410795477539,0.7604166666666666,0.04166666666666663,0.09787014154485857,0.002129858455141437,0.00901583021660526,0.008761838038723605,0.3039771852393945,0.003977185239394498,0.010889315143331786,0.0126190185546875,0.007127346924776935,0.010721029713749886,0.01071977445157214,0.03706692051307213,1.0,0.8333333333333334,0,0.75,72,0.06375343631953001,1.0,1.0,0.75,72,-0.049312678838355675,1.0,1.0,0.75,72,0.03584266834271451,1.0,1.0,0.7916666666666666,76,-0.04683149958911695,1.0,0.8333333333333334
5000031,0.1,0.3,0.48,walk,0.75,0,0,0,1.0,1,1,0.37817728697593717,0.7933961697976991,0.7604166666666666,0.04166666666666663,0.09821687611119484,0.001783123888805166,0.008964515731898708,0.008726426656357944,0.3040967866157492,0.004096786615749193,0.01928412870441682,0.021203994750976562,0.008949349093967681,0.012068134732544422,0.010976398710435714,0.03661359192555107,1.0,0.8333333333333334,0,0.75,72,0.06386076213998927,1.0,1.0,0.75,72,-0.04942617751657963,1.0,1.0,0.75,72,0.03599707270041108,1.0,1.0,0.7916666666666666,76,-0.0471497398654097,1.0,0.8333333333333334
5000000,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.4482568146341117,0.9558010735471254,0.8229166666666667,0.033333333333333326,0.10044952663960621,0.000449526639606207,0.0063604756835603,0.006435302320945388,0.3032361548393965,0.003236154839396488,0.0042659117137089295,0.0069217681884765625,0.018394736462865442,0.02159140259027481,0.008858971281667388,0.028408792852846563,0.95,1.0,0,0.7916666666666666,76,0.060380088312453346,0.95,1.0,0.8333333333333334,80,-0.04856956424191594,1.0,1.0,0.8333333333333334,80,0.04258138062432408,1.0,1.0,0.8333333333333334,80,-0.049368020100519064,1.0,1.0
5000001,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.4484076229366029,0.9514489022096577,0.8229166666666667,0.033333333333333326,0.10055453205162562,0.0005545320516256169,0.006400222911769033,0.00647135447555532,0.3028266377126177,0.002826637712617708,0.007695037799909068,0.01027679443359375,0.019654974851405632,0.021921850740909576,0.008611974431156397,0.0284934893328205,0.95,1.0,0,0.7916666666666666,76,0.060424029140880235,0.95,1.0,0.8333333333333334,80,-0.0486720425542444,1.0,1.0,0.8333333333333334,80,0.04235472707077861,1.0,1.0,0.8333333333333334,80,-0.04965826533734798,1.0,1.0
5000002,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.44752806104599063,0.9529898654390256,0.8229166666666667,0.033333333333333326,0.10044333564705754,0.0004433356470575356,0.006408527179768211,0.006475614145165309,0.3032453649987777,0.0032453649987777,0.010188633468380823,0.012808588333427906,0.019253190117446226,0.021676423028111458,0.008771550890774246,0.028547766731949954,0.95,1.0,0,0.7916666666666666,76,0.06044300557359269,0.95,1.0,0.8333333333333334,80,-0.048613145016133785,1.0,1.0,0.8333333333333334,80,0.04240504810586572,1.0,1.0,0.8333333333333334,80,-0.0494254725985229,1.0,1.0
5000003,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.44828601570423,0.9553944122178386,0.8229166666666667,0.033333333333333326,0.10051318263806598,0.000513182638065976,0.006407129015700009,0.00647883135243319,0.3031769186879198,0.0031769186879198053,0.0022749958535982504,0.0047130584716796875,0.018973716902081997,0.02150830440223217,0.008730812071110712,0.028390558352990685,0.95,1.0,0,0.7916666666666666,76,0.06045420884497856,0.95,1.0,0.8333333333333334,80,-0.04863436375744641,1.0,1.0,0.8333333333333334,80,0.04245966817252338,1.0,1.0,0.8333333333333334,80,-0.04947812450118363,1.0,1.0
5000004,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.44749363533895076,0.9498600929711831,0.8229166666666667,0.033333333333333326,0.10062109206337481,0.000621092063374809,0.006393954677041619,0.0064664628550720705,0.3029648397738735,0.0029648397738735177,0.02647737936865081,0.028421401977539062,0.020966111632877097,0.024514565244317055,0.008553239859462956,0.028670889058084546,0.95,1.0,0,0.7916666666666666,76,0.0604253439232707,0.95,1.0,0.8333333333333334,80,-0.048738421965390445,1.0,1.0,0.8333333333333334,80,0.042318008234724404,1.0,1.0,0.8333333333333334,80,-0.049760410003364085,1.0,1.0
5000005,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.4477501524978588,0.9538048250816199,0.8229166666666667,0.033333333333333326,0.10038972351160881,0.0003897235116088055,0.006438288746499701,0.006502232506560783,0.30322342986861867,0.003223429868618677,0.002369154243760222,0.00489044189453125,0.017742216777623145,0.021048344671726227,0.00884002280479323,0.028389999943323137,0.95,1.0,0,0.7916666666666666,76,0.06046857067236775,0.95,1.0,0.8333333333333334,80,-0.04852456697262823,1.0,1.0,0.8333333333333334,80,0.04239018182270229,1.0,1.0,0.8333333333333334,80,-0.049396127555519344,1.0,1.0
5000006,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.44800506877479795,0.9535364777923676,0.8229166666666667,0.033333333333333326,0.1004393536033795,0.0004393536033794887,0.006416538427338788,0.006484139563205341,0.3032587853570779,0.003258785357077909,0.014334130790358703,0.017475128173828125,0.01844456949256076,0.02141706272959709,0.008815920292379324,0.028449112145649387,0.95,1.0,0,0.7916666666666666,76,0.0604564217654498,0.95,1.0,0.8333333333333334,80,-0.048597833653911945,1.0,1.0,0.8333333333333334,80,0.042438778840005395,1.0,1.0,0.8333333333333334,80,-0.049385672947391865,1.0,1.0
5000007,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.4477466057277313,0.9538634484493828,0.8229166666666667,0.033333333333333326,0.10044173059960533,0.000441730599605325,0.006417415309574847,0.006486138049513102,0.3033306887373328,0.003330688737332832,0.007365365149470748,0.010458462871611118,0.018232451458024896,0.02133217640221119,0.008844444286886514,0.028406058780779245,0.95,1.0,0,0.7916666666666666,76,0.06046302876386203,0.95,1.0,0.8333333333333334,80,-0.048584247613325714,1.0,1.0,0.8333333333333334,80,0.04245776678435505,1.0,1.0,0.8333333333333334,80,-0.04937841803766787,1.0,1.0
5000008,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.447756945582811,0.9506171654553852,0.8229166666666667,0.033333333333333326,0.10054947617708852,0.0005494761770885176,0.006400249629575562,0.006470668950350956,0.3031099233776331,0.003109923377633106,0.004263348285179311,0.00649261474609375,0.01989995829570366,0.021999815478920937,0.00868221771155832,0.028462808838687716,0.95,1.0,0,0.7916666666666666,76,0.06044353740779977,0.95,1.0,0.8333333333333334,80,-0.04870297634042799,1.0,1.0,0.8333333333333334,80,0.042391624813899395,1.0,1.0,0.8333333333333334,80,-0.049560813792049886,1.0,1.0
5000009,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.4481236896461984,0.9514280880444581,0.8229166666666667,0.033333333333333326,0.10052167860129357,0.0005216786012935681,0.00640205762949527,0.006472378711138541,0.3029099144041538,0.002909914404153835,0.004875692924723724,0.0069904327392578125,0.01969065297018303,0.021881990134716034,0.008627839322617879,0.02860949213163512,0.95,1.0,0,0.7916666666666666,76,0.060409522909475,0.95,1.0,0.8333333333333334,80,-0.048655376816168425,1.0,1.0,0.8333333333333334,80,0.042332816822454336,1.0,1.0,0.8333333333333334,80,-0.0496456406544894,1.0,1.0
5000010,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.4474629383708913,0.953000414536666,0.8229166666666667,0.033333333333333326,0.10038171939698881,0.0003817193969888055,0.006436260874187083,0.006500408600550144,0.3033718438819051,0.00337184388190509,0.011130950926267542,0.0142059326171875,0.018636705239723796,0.021575650200247765,0.008806932771529562,0.02862736313851343,0.95,1.0,0,0.7916666666666666,76,0.06045894442420257,0.95,1.0,0.8333333333333334,80,-0.048599907848984006,1.0,1.0,0.8333333333333334,80,0.042352811759337784,1.0,1.0,0.8333333333333334,80,-0.04935177476145327,1.0,1.0
5000011,0.1,0.3,0.48,walk,0.8,1,0,1,1.0,1,1,0.4474707815194823,0.9537241588109202,0.8229166666666667,0.033333333333333326,0.10038627954935164,0.0003862795493516369,0.006443863808128393,0.006506500478523473,0.3033570929740866,0.003357092974086595,0.00565753601077852,0.008257865905761719,0.018202340137130447,0.02141021564602852,0.008798475452953057,0.02858019173229905,0.95,1.0,0,0.7916666666666666,76,0.06046834244931999,0.95,1.0,0.8333333333333334,80,-0.048581485217437145,1.0,1.0,0.8333333333333334,80,0.0423407101072371,1.0,1.0,0.8333333333333334,80,-0.049382021324709056,1.0,1.0
