speed,command_df,step_width,period,gait,perturbation_h,references,valid_references,reference_valid_rate,periodic_orbit_gate_pass_rate,command_gate_pass_rate,hybrid_topology_gate_pass_rate,translation_symmetry_gate_pass_rate,numerical_gate_pass_rate,rank_gate_pass_rate,finite_difference_gate_pass_rate,chi_augmented_diagnostic_median,chi_augmented_median,chi_augmented_q025,chi_augmented_q975,chi_physical_conditional_diagnostic_median,chi_physical_conditional_median,chi_physical_conditional_q025,chi_physical_conditional_q975,chi_orbital_physical_diagnostic_median,chi_orbital_physical_median,chi_orbital_physical_q025,chi_orbital_physical_q975,chi_orbital_augmented_diagnostic_median,chi_orbital_augmented_median,chi_orbital_augmented_q025,chi_orbital_augmented_q975
0.3,0.5,0.4,0.48,trot,0.025,8,0,0.0,0.75,1.0,1.0,0.0,0.0,1.0,0.0,42.84340872774261,nan,nan,nan,13.1879694782083,nan,nan,nan,12.7553194934025,nan,nan,nan,41.40404508411555,nan,nan,nan
0.3,0.5,0.4,0.48,trot,0.05,8,0,0.0,0.75,1.0,1.0,0.0,0.0,1.0,0.0,7.208542751548782,nan,nan,nan,4.986133866565308,nan,nan,nan,4.850293665171066,nan,nan,nan,7.022647287773083,nan,nan,nan
0.3,0.5,0.4,0.48,trot,0.1,8,0,0.0,0.75,1.0,0.125,0.0,0.0,1.0,0.0,7.693151043603539,nan,nan,nan,6.111852701315986,nan,nan,nan,5.948921757240779,nan,nan,nan,7.53765737000689,nan,nan,nan
0.3,0.625,0.4,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.8928951265742127,nan,nan,nan,3.352666712774143,nan,nan,nan,3.3298633229943224,nan,nan,nan,3.8681736654899628,nan,nan,nan
0.3,0.625,0.4,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.796557829284163,nan,nan,nan,2.265126394470885,nan,nan,nan,2.2328154269948177,nan,nan,nan,2.7612315900062474,nan,nan,nan
0.3,0.625,0.4,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.2751109043712914,nan,nan,nan,2.0577446097261296,nan,nan,nan,2.009453937204743,nan,nan,nan,2.240045285746027,nan,nan,nan
0.3,0.75,0.4,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.9632653534762552,nan,nan,nan,1.700244476877924,nan,nan,nan,1.6812222694815238,nan,nan,nan,1.952998290130967,nan,nan,nan
0.3,0.75,0.4,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.4634015285817297,nan,nan,nan,1.3105647602786896,nan,nan,nan,1.2867338104007748,nan,nan,nan,1.4488480787714404,nan,nan,nan
0.3,0.75,0.4,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.4152168729031191,nan,nan,nan,1.258917206150989,nan,nan,nan,1.1982430994503561,nan,nan,nan,1.3512224077627213,nan,nan,nan
0.3,0.5,0.5,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,18.076964163668997,nan,nan,nan,13.68467520235298,nan,nan,nan,13.437431343042437,nan,nan,nan,17.690495324444328,nan,nan,nan
