speed,command_df,step_width,period,gait,perturbation_h,references,valid_references,reference_valid_rate,periodic_orbit_gate_pass_rate,command_gate_pass_rate,hybrid_topology_gate_pass_rate,translation_symmetry_gate_pass_rate,numerical_gate_pass_rate,rank_gate_pass_rate,finite_difference_gate_pass_rate,chi_augmented_diagnostic_median,chi_augmented_median,chi_augmented_q025,chi_augmented_q975,chi_physical_conditional_diagnostic_median,chi_physical_conditional_median,chi_physical_conditional_q025,chi_physical_conditional_q975,chi_orbital_physical_diagnostic_median,chi_orbital_physical_median,chi_orbital_physical_q025,chi_orbital_physical_q975,chi_orbital_augmented_diagnostic_median,chi_orbital_augmented_median,chi_orbital_augmented_q025,chi_orbital_augmented_q975,condition_valid
0.35,0.75,0.1,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.296716736126583,nan,nan,nan,4.048290852522914,nan,nan,nan,3.9609141960790106,nan,nan,nan,5.211009402442791,nan,nan,nan,0
0.35,0.75,0.2,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.8033939842994142,nan,nan,nan,1.6181608104991325,nan,nan,nan,1.5736196991845426,nan,nan,nan,1.7775880801510437,nan,nan,nan,0
0.35,0.75,0.3,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.2318146239989005,nan,nan,nan,2.687593853556397,nan,nan,nan,2.592593328797115,nan,nan,nan,3.141218273309565,nan,nan,nan,0
0.35,0.75,0.4,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.944577902542327,nan,nan,nan,3.626448241521717,nan,nan,nan,3.5668549984786138,nan,nan,nan,4.913501643244096,nan,nan,nan,0
0.35,0.75,0.5,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.621852192412471,nan,nan,nan,3.0915236407047524,nan,nan,nan,3.062669179761654,nan,nan,nan,3.6043369263335947,nan,nan,nan,0
0.4,0.75,0.1,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.891144908551567,nan,nan,nan,3.745322064634043,nan,nan,nan,3.6596998892283326,nan,nan,nan,4.8272925317154085,nan,nan,nan,0
0.4,0.75,0.2,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.8205506601723536,nan,nan,nan,1.5787171113188474,nan,nan,nan,1.5493619599808226,nan,nan,nan,1.7712977807664507,nan,nan,nan,0
0.4,0.75,0.3,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.01897517250657,nan,nan,nan,2.674809019672348,nan,nan,nan,2.641053863014947,nan,nan,nan,2.9533955995348093,nan,nan,nan,0
0.4,0.75,0.4,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.169320730950513,nan,nan,nan,4.3815372240799695,nan,nan,nan,4.347576345968047,nan,nan,nan,4.926259423619925,nan,nan,nan,0
0.4,0.75,0.5,0.48,walk,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.27978403764298,nan,nan,nan,3.5962512792573413,nan,nan,nan,3.569457254792,nan,nan,nan,4.250133206545998,nan,nan,nan,0
