gait,speed,period,step_width,command_df,trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,positive_mechanical_cot_median_all,periodic_rate,compliance_rate
trot,0.35,0.36,0.3,0.625,32,1.0,1,0.24071348021283973,0.24071348021283973,1.0,1.0
trot,0.35,0.36,0.4,0.5,32,0.0,0,,0.25076326241061386,1.0,0.0
trot,0.35,0.36,0.4,0.625,32,1.0,1,0.25540612712234145,0.25540612712234145,1.0,1.0
trot,0.35,0.36,0.5,0.5,32,0.0,0,,0.2827382251157692,1.0,0.0
trot,0.35,0.36,0.5,0.625,32,1.0,1,0.28219635326594117,0.28219635326594117,1.0,1.0
trot,0.35,0.4,0.1,0.5,32,0.0,0,,0.17467124107317772,0.0,0.0
trot,0.35,0.4,0.1,0.625,32,1.0,1,0.22138438465180155,0.22138438465180155,1.0,1.0
trot,0.35,0.4,0.1,0.75,32,1.0,1,0.2848118876374802,0.2848118876374802,1.0,1.0
trot,0.35,0.4,0.2,0.5,32,0.0,0,,0.18642378253007105,1.0,0.0
trot,0.35,0.4,0.2,0.625,32,1.0,1,0.22074846730606595,0.22074846730606595,1.0,1.0
trot,0.35,0.4,0.2,0.75,32,1.0,1,0.2837617392387606,0.2837617392387606,1.0,1.0
trot,0.35,0.4,0.3,0.5,32,0.0,0,,0.20148489416933996,1.0,0.0
trot,0.35,0.4,0.3,0.625,32,1.0,1,0.2265731987372555,0.2265731987372555,1.0,1.0
trot,0.35,0.4,0.3,0.75,32,1.0,1,0.2884894131937283,0.2884894131937283,1.0,1.0
trot,0.35,0.4,0.4,0.5,32,0.0,0,,0.22074526603497613,1.0,0.0
trot,0.35,0.4,0.4,0.625,32,1.0,1,0.24547887463530638,0.24547887463530638,1.0,1.0
trot,0.35,0.4,0.4,0.75,32,1.0,1,0.30852942845962533,0.30852942845962533,1.0,1.0
trot,0.35,0.4,0.5,0.5,32,0.0,0,,0.2785853779889416,1.0,0.0
trot,0.35,0.4,0.5,0.625,32,1.0,1,0.2691987356019954,0.2691987356019954,1.0,1.0
trot,0.35,0.4,0.5,0.75,32,1.0,1,0.33797808516536604,0.33797808516536604,1.0,1.0
trot,0.35,0.48,0.1,0.5,32,0.0,0,,0.1605248429992493,0.0,0.0
trot,0.35,0.48,0.1,0.625,32,1.0,1,0.19687748208282463,0.19687748208282463,1.0,1.0
trot,0.35,0.48,0.1,0.75,32,1.0,1,0.3040989380046225,0.3040989380046225,1.0,1.0
trot,0.35,0.48,0.2,0.5,32,1.0,1,0.17494147901335907,0.17494147901335907,1.0,1.0
trot,0.35,0.48,0.2,0.625,32,1.0,1,0.20600523275242505,0.20600523275242505,1.0,1.0
trot,0.35,0.48,0.2,0.75,32,1.0,1,0.3039000666761916,0.3039000666761916,1.0,1.0
trot,0.35,0.48,0.3,0.5,32,1.0,1,0.18778071777901273,0.18778071777901273,1.0,1.0
trot,0.35,0.48,0.3,0.625,32,1.0,1,0.21811392415396466,0.21811392415396466,1.0,1.0
