gait,speed,period,step_width,command_df,trials,valid_energy_trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,finite_cot_trials,positive_mechanical_cot_median_all,periodic_rate,compliance_rate,achieved_df_mean,out_of_training_support
walk,0.35,0.48,0.3,0.9,32,0,0.0,0,,32,0.4682701736353007,1.0,0.0,0.875,0
walk,0.35,0.48,0.4,0.75,32,0,0.0,0,,32,0.43714826604631785,1.0,0.0,0.7604166666666666,0
walk,0.35,0.48,0.4,0.8,32,32,1.0,1,0.4766813787140868,32,0.4766813787140868,1.0,1.0,0.8333333333333334,0
walk,0.35,0.48,0.4,0.85,32,32,1.0,1,0.5073894568110454,32,0.5073894568110454,1.0,1.0,0.8541666666666667,0
walk,0.35,0.48,0.4,0.9,32,0,0.0,0,,32,0.48808629072840115,1.0,0.0,0.875,0
walk,0.35,0.48,0.5,0.75,32,0,0.0,0,,32,0.4491480364809598,1.0,0.0,0.7604166666666666,0
walk,0.35,0.48,0.5,0.8,32,32,1.0,1,0.48332868536522694,32,0.48332868536522694,1.0,1.0,0.8333333333333334,0
walk,0.35,0.48,0.5,0.85,32,20,0.625,0,,32,0.5211945514834562,1.0,0.625,0.8541666666666667,0
walk,0.35,0.48,0.5,0.9,32,0,0.0,0,,32,0.5036153852253491,1.0,0.0,0.875,0
walk,0.4,0.48,0.1,0.75,32,0,0.0,0,,32,0.3687510286780137,1.0,0.0,0.7604166666666666,0
walk,0.4,0.48,0.1,0.8,32,32,1.0,1,0.41842055530927946,32,0.41842055530927946,1.0,1.0,0.8229166666666667,0
walk,0.4,0.48,0.1,0.85,32,0,0.0,0,,32,0.43716843654315807,1.0,0.0,0.8541666666666667,0
walk,0.4,0.48,0.1,0.9,32,0,0.0,0,,32,0.4307408152948279,1.0,0.0,0.8854166666666666,0
walk,0.4,0.48,0.2,0.75,32,0,0.0,0,,32,0.3793543843472082,1.0,0.0,0.7604166666666666,0
walk,0.4,0.48,0.2,0.8,32,32,1.0,1,0.42444858888890546,32,0.42444858888890546,1.0,1.0,0.8333333333333334,0
walk,0.4,0.48,0.2,0.85,32,32,1.0,1,0.4517934734395433,32,0.4517934734395433,1.0,1.0,0.8541666666666667,0
walk,0.4,0.48,0.2,0.9,32,0,0.0,0,,32,0.4448568736132645,1.0,0.0,0.875,0
walk,0.4,0.48,0.3,0.75,32,0,0.0,0,,32,0.3990822779956224,1.0,0.0,0.7604166666666666,0
walk,0.4,0.48,0.3,0.8,32,32,1.0,1,0.44409102640695397,32,0.44409102640695397,1.0,1.0,0.8333333333333334,0
walk,0.4,0.48,0.3,0.85,32,32,1.0,1,0.46975983301821334,32,0.46975983301821334,1.0,1.0,0.8541666666666667,0
walk,0.4,0.48,0.3,0.9,32,0,0.0,0,,32,0.4606916595567129,1.0,0.0,0.875,0
walk,0.4,0.48,0.4,0.75,32,0,0.0,0,,32,0.41740737597557664,1.0,0.0,0.7604166666666666,0
walk,0.4,0.48,0.4,0.8,32,32,1.0,1,0.46169952028431976,32,0.46169952028431976,1.0,1.0,0.8333333333333334,0
walk,0.4,0.48,0.4,0.85,32,32,1.0,1,0.4895795022235089,32,0.4895795022235089,1.0,1.0,0.8541666666666667,0
walk,0.4,0.48,0.4,0.9,32,0,0.0,0,,32,0.4816883228727838,1.0,0.0,0.875,0
walk,0.4,0.48,0.5,0.75,32,0,0.0,0,,32,0.4338264177837162,1.0,0.0,0.7604166666666666,0
walk,0.4,0.48,0.5,0.8,32,32,1.0,1,0.46939056260111633,32,0.46939056260111633,1.0,1.0,0.8333333333333334,0
walk,0.4,0.48,0.5,0.85,32,0,0.0,0,,32,0.5002490665694623,1.0,0.0,0.8541666666666667,0
walk,0.4,0.48,0.5,0.9,32,0,0.0,0,,32,0.4916907253743739,1.0,0.0,0.875,0
