gait,policy,condition,period,speed,step_width,command_df,trials,success,failure,timeout,success_rate,ci_low,ci_high,mean_travel_m,mean_end_time_s
trot,base,nominal,0.54,0.30,0.5,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002737537026405,13.3696875
trot,base,perturbed,0.36,0.30,0.1,0.5,64,11,53,0,0.171875,0.0987764126731623,0.2821344149016591,3.1274624336510897,10.664375
trot,base,perturbed,0.36,0.30,0.1,0.625,64,25,39,0,0.390625,0.28055388546896454,0.5130830570559759,3.3967900034040213,11.564687500000002
trot,base,perturbed,0.36,0.30,0.2,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002940088510513,13.125
trot,base,perturbed,0.36,0.30,0.2,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003470927476883,13.069375
trot,base,perturbed,0.36,0.30,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003252230584621,12.7915625
trot,base,perturbed,0.36,0.30,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003478668630123,13.004999999999999
trot,base,perturbed,0.36,0.30,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002982899546623,12.778749999999999
trot,base,perturbed,0.36,0.30,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003231555223465,12.9625
trot,base,perturbed,0.36,0.30,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003494895994663,12.993125
trot,base,perturbed,0.36,0.30,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003228105604649,12.980625000000002
trot,base,perturbed,0.48,0.25,0.1,0.5,64,1,63,0,0.015625,0.0027634707504014047,0.08334298900290629,2.087593974545598,8.5303125
trot,base,perturbed,0.48,0.25,0.1,0.625,64,1,63,0,0.015625,0.0027634707504014047,0.08334298900290629,2.283547807484865,9.732499999999998
trot,base,perturbed,0.48,0.25,0.1,0.75,64,12,52,0,0.1875,0.11064534880922097,0.29974591554775176,2.8359615355730057,12.2784375
trot,base,perturbed,0.48,0.25,0.2,0.5,64,47,17,0,0.734375,0.615168937427648,0.8270376143046224,3.8006378188729286,14.9959375
trot,base,perturbed,0.48,0.25,0.2,0.625,64,57,7,0,0.890625,0.7910113670806147,0.9459995524731695,3.874574212357402,15.62875
trot,base,perturbed,0.48,0.25,0.2,0.75,64,63,1,0,0.984375,0.9166570109970937,0.9972365292495986,3.97170078009367,16.201875
trot,base,perturbed,0.48,0.25,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002706475555897,15.3759375
trot,base,perturbed,0.48,0.25,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.0026619508862495,15.89375
trot,base,perturbed,0.48,0.25,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002242490649223,16.200625000000002
trot,base,perturbed,0.48,0.25,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003007590770721,15.42875
trot,base,perturbed,0.48,0.25,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002784103155136,15.800625
trot,base,perturbed,0.48,0.25,0.4,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002446360886097,16.03
trot,base,perturbed,0.48,0.25,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002833537757397,15.627187500000002
trot,base,perturbed,0.48,0.25,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002980284392834,15.6728125
trot,base,perturbed,0.48,0.25,0.5,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.00256460160017,15.955625000000001
trot,base,perturbed,0.48,0.30,0.1,0.5,64,1,63,0,0.015625,0.0027634707504014047,0.08334298900290629,2.4421331360936165,8.254687500000001
trot,base,perturbed,0.48,0.30,0.1,0.625,64,2,62,0,0.03125,0.00861195771251659,0.10697493882294247,2.7076517697423697,9.542187499999999
trot,base,perturbed,0.48,0.30,0.1,0.75,64,15,49,0,0.234375,0.1474976721963502,0.35133490250707655,3.0990143064409494,11.1265625
trot,base,perturbed,0.48,0.30,0.2,0.5,64,55,9,0,0.859375,0.7538349160536257,0.9242151299358556,3.925709292292595,12.946562499999999
trot,base,perturbed,0.48,0.30,0.2,0.625,64,60,4,0,0.9375,0.8500230335750312,0.9754291963252071,3.9593376889824867,13.323125000000001
trot,base,perturbed,0.48,0.30,0.2,0.75,64,62,2,0,0.96875,0.8930250611770575,0.9913880422874833,3.97549257427454,13.533437500000002
trot,base,perturbed,0.48,0.30,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003517799079418,12.877187500000002
trot,base,perturbed,0.48,0.30,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002703845500946,13.3146875
